date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,11,0.0,8.7,5,31,09:51 AM,09:44 PM,06:46 AM,05:32 PM,6,17,17,17,11,3,50,0.0,1015,25,10,70,6,"dindori,madhya+pradesh"
2009-01-02,25,10,0.0,8.7,5,38,10:22 AM,10:36 PM,06:47 AM,05:33 PM,5,17,16,17,8,4,48,0.0,1017,25,10,102,4,"dindori,madhya+pradesh"
2009-01-03,25,9,0.0,8.7,5,45,10:55 AM,11:30 PM,06:47 AM,05:34 PM,6,17,16,17,9,2,52,0.0,1017,25,10,154,5,"dindori,madhya+pradesh"
2009-01-04,27,8,0.0,8.7,5,52,11:29 AM,No moonset,06:47 AM,05:34 PM,8,18,18,18,6,3,57,0.0,1014,27,10,190,3,"dindori,madhya+pradesh"
2009-01-05,26,12,0.0,8.7,5,60,12:05 PM,12:26 AM,06:48 AM,05:35 PM,9,19,19,19,10,23,54,0.0,1012,26,10,261,6,"dindori,madhya+pradesh"
2009-01-06,24,16,0.0,8.7,5,67,12:47 PM,01:27 AM,06:48 AM,05:36 PM,12,20,20,20,6,37,62,0.7,1013,24,10,163,4,"dindori,madhya+pradesh"
2009-01-07,18,15,0.0,7.2,4,74,01:36 PM,02:30 AM,06:48 AM,05:36 PM,14,16,16,16,6,48,86,1.3,1016,18,10,152,3,"dindori,madhya+pradesh"
2009-01-08,23,15,0.0,8.7,5,82,02:32 PM,03:38 AM,06:48 AM,05:37 PM,12,18,18,18,12,21,70,0.6,1018,23,9,73,7,"dindori,madhya+pradesh"
2009-01-09,24,14,0.0,8.7,5,89,03:37 PM,04:47 AM,06:48 AM,05:38 PM,12,17,18,17,12,29,74,0.8,1019,24,9,74,7,"dindori,madhya+pradesh"
2009-01-10,26,13,0.0,8.7,5,96,04:47 PM,05:52 AM,06:48 AM,05:38 PM,10,18,19,18,11,20,62,0.0,1018,26,10,81,6,"dindori,madhya+pradesh"
2009-01-11,26,13,0.0,8.7,5,100,05:58 PM,06:52 AM,06:48 AM,05:39 PM,11,19,19,19,11,20,64,0.0,1018,26,10,172,6,"dindori,madhya+pradesh"
2009-01-12,26,12,0.0,8.7,5,89,07:07 PM,07:44 AM,06:49 AM,05:40 PM,10,19,19,19,9,8,59,0.0,1020,26,10,48,5,"dindori,madhya+pradesh"
2009-01-13,27,14,0.0,8.7,5,82,08:12 PM,08:28 AM,06:49 AM,05:40 PM,10,20,20,20,9,7,54,0.0,1021,27,10,92,5,"dindori,madhya+pradesh"
2009-01-14,27,14,0.0,8.7,5,75,09:13 PM,09:08 AM,06:49 AM,05:41 PM,9,20,20,20,12,6,53,0.0,1021,27,10,103,7,"dindori,madhya+pradesh"
2009-01-15,26,13,0.0,8.7,5,68,10:11 PM,09:45 AM,06:49 AM,05:42 PM,10,19,19,19,12,4,58,0.0,1020,26,10,18,7,"dindori,madhya+pradesh"
2009-01-16,26,13,0.0,8.7,5,60,11:07 PM,10:19 AM,06:49 AM,05:43 PM,8,19,19,19,13,1,54,0.0,1019,26,10,61,8,"dindori,madhya+pradesh"
2009-01-17,27,12,0.0,8.7,5,53,No moonrise,10:53 AM,06:49 AM,05:43 PM,7,19,19,19,11,0,49,0.0,1018,27,10,184,6,"dindori,madhya+pradesh"
2009-01-18,27,11,0.0,8.7,5,46,12:02 AM,11:29 AM,06:49 AM,05:44 PM,7,20,19,20,10,0,48,0.0,1017,27,10,136,6,"dindori,madhya+pradesh"
2009-01-19,28,13,0.0,8.7,5,38,12:56 AM,12:06 PM,06:48 AM,05:45 PM,7,20,20,20,11,1,46,0.0,1016,28,10,100,6,"dindori,madhya+pradesh"
2009-01-20,27,13,0.0,8.7,5,31,01:51 AM,12:47 PM,06:48 AM,05:45 PM,8,19,19,19,16,8,51,0.0,1016,27,10,337,9,"dindori,madhya+pradesh"
2009-01-21,25,12,0.0,8.7,5,24,02:46 AM,01:32 PM,06:48 AM,05:46 PM,2,17,17,17,17,8,41,0.0,1016,25,10,329,10,"dindori,madhya+pradesh"
2009-01-22,28,11,0.0,8.7,5,17,03:40 AM,02:20 PM,06:48 AM,05:47 PM,-1,18,17,18,14,3,29,0.0,1015,28,10,295,7,"dindori,madhya+pradesh"
2009-01-23,29,11,0.0,8.7,5,9,04:30 AM,03:12 PM,06:48 AM,05:47 PM,0,19,19,19,14,0,29,0.0,1013,29,10,346,8,"dindori,madhya+pradesh"
2009-01-24,31,13,0.0,8.7,5,2,05:19 AM,04:06 PM,06:48 AM,05:48 PM,1,21,20,21,10,0,29,0.0,1013,31,10,340,5,"dindori,madhya+pradesh"
2009-01-25,31,13,0.0,4.1,5,0,06:02 AM,05:00 PM,06:47 AM,05:49 PM,6,21,21,21,4,40,40,0.0,1013,31,10,213,2,"dindori,madhya+pradesh"
2009-01-26,31,13,0.0,8.7,6,0,06:42 AM,05:54 PM,06:47 AM,05:50 PM,5,22,22,22,10,0,37,0.0,1012,31,10,201,6,"dindori,madhya+pradesh"
2009-01-27,30,16,0.0,8.7,6,5,07:19 AM,06:47 PM,06:47 AM,05:50 PM,5,22,21,22,15,1,34,0.0,1013,30,10,266,9,"dindori,madhya+pradesh"
2009-01-28,30,15,0.0,8.7,6,12,07:53 AM,07:41 PM,06:47 AM,05:51 PM,5,21,21,21,14,0,36,0.0,1013,30,10,206,8,"dindori,madhya+pradesh"
2009-01-29,30,13,0.0,8.7,5,20,08:25 AM,08:33 PM,06:46 AM,05:52 PM,4,20,20,20,11,9,37,0.0,1014,30,10,149,6,"dindori,madhya+pradesh"
2009-01-30,30,13,0.0,8.7,6,27,08:57 AM,09:26 PM,06:46 AM,05:52 PM,4,21,21,21,12,5,35,0.0,1013,30,10,130,7,"dindori,madhya+pradesh"
2009-01-31,30,14,0.0,8.7,6,31,09:31 AM,10:21 PM,06:46 AM,05:53 PM,6,21,21,21,14,1,40,0.0,1013,30,10,98,8,"dindori,madhya+pradesh"
2009-02-01,28,13,0.0,8.7,5,43,10:05 AM,11:18 PM,06:45 AM,05:54 PM,4,19,19,19,15,0,39,0.0,1014,28,10,127,8,"dindori,madhya+pradesh"
2009-02-02,28,12,0.0,8.7,5,50,10:44 AM,No moonset,06:45 AM,05:54 PM,1,19,18,19,13,0,33,0.0,1015,28,10,141,7,"dindori,madhya+pradesh"
2009-02-03,29,11,0.0,8.7,5,58,11:29 AM,12:19 AM,06:44 AM,05:55 PM,1,20,19,20,13,0,31,0.0,1014,29,10,130,7,"dindori,madhya+pradesh"
2009-02-04,29,12,0.0,8.7,5,66,12:20 PM,01:23 AM,06:44 AM,05:55 PM,2,20,20,20,10,1,32,0.0,1015,29,10,140,5,"dindori,madhya+pradesh"
2009-02-05,30,13,0.0,8.7,6,73,01:19 PM,02:28 AM,06:43 AM,05:56 PM,5,21,20,21,11,7,38,0.0,1014,30,10,190,6,"dindori,madhya+pradesh"
2009-02-06,31,13,0.0,8.7,6,81,02:24 PM,03:34 AM,06:43 AM,05:57 PM,5,22,21,22,11,1,35,0.0,1014,31,10,245,6,"dindori,madhya+pradesh"
2009-02-07,30,14,0.0,8.7,6,88,03:33 PM,04:34 AM,06:42 AM,05:57 PM,2,21,20,21,14,0,32,0.0,1014,30,10,107,8,"dindori,madhya+pradesh"
2009-02-08,30,13,0.0,8.7,5,96,04:42 PM,05:29 AM,06:42 AM,05:58 PM,4,20,20,20,12,0,36,0.0,1016,30,10,63,6,"dindori,madhya+pradesh"
2009-02-09,29,13,0.0,8.7,5,100,05:50 PM,06:16 AM,06:41 AM,05:58 PM,2,20,19,20,15,0,34,0.0,1016,29,10,112,9,"dindori,madhya+pradesh"
2009-02-10,31,12,0.0,8.7,6,89,06:53 PM,06:59 AM,06:41 AM,05:59 PM,3,22,21,22,14,1,30,0.0,1013,31,10,142,8,"dindori,madhya+pradesh"
2009-02-11,29,14,0.0,11.6,6,82,07:54 PM,07:38 AM,06:40 AM,06:00 PM,4,21,21,21,16,9,34,0.0,1012,29,10,274,9,"dindori,madhya+pradesh"
2009-02-12,27,13,0.0,11.6,5,74,08:52 PM,08:14 AM,06:40 AM,06:00 PM,2,18,18,18,15,0,37,0.0,1013,27,10,332,9,"dindori,madhya+pradesh"
2009-02-13,28,11,0.0,11.6,5,67,09:49 PM,08:49 AM,06:39 AM,06:01 PM,5,19,19,19,9,0,43,0.0,1012,28,10,252,5,"dindori,madhya+pradesh"
2009-02-14,30,11,0.0,11.6,5,59,10:45 PM,09:25 AM,06:38 AM,06:01 PM,4,21,20,21,12,0,36,0.0,1012,30,10,132,7,"dindori,madhya+pradesh"
2009-02-15,31,12,0.0,11.6,6,51,11:42 PM,10:03 AM,06:38 AM,06:02 PM,4,21,21,21,12,1,36,0.0,1012,31,10,101,7,"dindori,madhya+pradesh"
2009-02-16,31,14,0.0,11.6,6,44,No moonrise,10:43 AM,06:37 AM,06:02 PM,5,22,21,22,11,4,37,0.0,1014,31,10,68,6,"dindori,madhya+pradesh"
2009-02-17,31,14,0.0,11.6,6,36,12:37 AM,11:27 AM,06:36 AM,06:03 PM,6,22,21,22,11,3,39,0.0,1014,31,10,63,6,"dindori,madhya+pradesh"
2009-02-18,32,14,0.0,11.6,6,29,01:32 AM,12:14 PM,06:36 AM,06:04 PM,6,22,22,22,13,4,36,0.0,1013,32,10,106,7,"dindori,madhya+pradesh"
2009-02-19,32,14,0.0,11.6,6,21,02:24 AM,01:05 PM,06:35 AM,06:04 PM,4,21,21,21,8,4,35,0.0,1012,32,10,68,5,"dindori,madhya+pradesh"
2009-02-20,33,14,0.0,11.6,6,14,03:13 AM,01:58 PM,06:34 AM,06:05 PM,2,22,22,23,12,3,27,0.0,1014,33,10,130,6,"dindori,madhya+pradesh"
2009-02-21,32,14,0.0,11.6,6,6,03:59 AM,02:52 PM,06:34 AM,06:05 PM,1,22,22,22,16,8,26,0.0,1014,32,10,178,9,"dindori,madhya+pradesh"
2009-02-22,32,14,0.0,11.6,6,0,04:40 AM,03:47 PM,06:33 AM,06:06 PM,3,22,22,23,13,5,28,0.0,1011,32,10,212,8,"dindori,madhya+pradesh"
2009-02-23,33,15,0.0,11.6,6,0,05:18 AM,04:40 PM,06:32 AM,06:06 PM,4,23,23,24,14,5,28,0.0,1010,33,10,211,8,"dindori,madhya+pradesh"
2009-02-24,34,15,0.0,11.6,6,0,05:53 AM,05:34 PM,06:31 AM,06:07 PM,3,24,24,25,12,2,27,0.0,1008,34,10,235,7,"dindori,madhya+pradesh"
2009-02-25,33,17,0.0,11.6,6,1,06:26 AM,06:27 PM,06:30 AM,06:07 PM,1,23,23,24,17,0,23,0.0,1009,33,10,315,10,"dindori,madhya+pradesh"
2009-02-26,33,16,0.0,11.6,6,9,06:59 AM,07:21 PM,06:30 AM,06:07 PM,3,23,23,23,12,0,30,0.0,1010,33,10,218,7,"dindori,madhya+pradesh"
2009-02-27,33,13,0.0,11.6,6,16,07:33 AM,08:16 PM,06:29 AM,06:08 PM,5,23,23,24,12,2,32,0.0,1010,33,10,153,7,"dindori,madhya+pradesh"
2009-02-28,32,16,0.0,11.6,6,24,08:07 AM,09:13 PM,06:28 AM,06:08 PM,3,22,22,23,17,2,28,0.0,1011,32,10,174,10,"dindori,madhya+pradesh"
2009-03-01,31,15,0.0,11.6,6,30,08:45 AM,10:13 PM,06:27 AM,06:09 PM,0,22,22,22,15,0,25,0.0,1011,31,10,300,9,"dindori,madhya+pradesh"
2009-03-02,34,13,0.0,11.6,6,37,09:28 AM,11:16 PM,06:26 AM,06:09 PM,4,24,24,25,11,0,28,0.0,1011,34,10,241,6,"dindori,madhya+pradesh"
2009-03-03,35,15,0.0,11.6,6,45,10:16 AM,No moonset,06:25 AM,06:10 PM,2,24,24,25,15,0,26,0.0,1010,35,10,177,9,"dindori,madhya+pradesh"
2009-03-04,35,14,0.0,11.6,6,52,11:11 AM,12:20 AM,06:25 AM,06:10 PM,2,24,24,25,11,0,27,0.0,1009,35,10,280,7,"dindori,madhya+pradesh"
2009-03-05,35,15,0.0,11.6,6,59,12:12 PM,01:24 AM,06:24 AM,06:11 PM,2,24,24,25,17,0,25,0.0,1008,35,10,317,11,"dindori,madhya+pradesh"
2009-03-06,34,17,0.0,11.6,6,67,01:18 PM,02:23 AM,06:23 AM,06:11 PM,0,24,24,25,16,0,22,0.0,1010,34,10,213,10,"dindori,madhya+pradesh"
2009-03-07,35,13,0.0,11.6,6,74,02:24 PM,03:19 AM,06:22 AM,06:11 PM,0,24,24,25,12,0,24,0.0,1010,35,10,179,7,"dindori,madhya+pradesh"
2009-03-08,35,14,0.0,11.6,6,81,03:31 PM,04:07 AM,06:21 AM,06:12 PM,3,25,25,26,10,0,25,0.0,1009,35,10,149,6,"dindori,madhya+pradesh"
2009-03-09,36,18,0.0,11.6,7,88,04:34 PM,04:51 AM,06:20 AM,06:12 PM,4,26,26,26,11,7,24,0.0,1011,36,10,124,6,"dindori,madhya+pradesh"
2009-03-10,33,19,0.0,11.6,6,96,05:36 PM,05:31 AM,06:19 AM,06:13 PM,8,24,24,25,11,12,35,0.4,1013,33,10,174,6,"dindori,madhya+pradesh"
2009-03-11,32,16,0.0,11.6,6,100,06:34 PM,06:08 AM,06:18 AM,06:13 PM,4,24,24,25,16,4,28,0.0,1013,32,10,273,10,"dindori,madhya+pradesh"
2009-03-12,33,14,0.0,11.6,6,90,07:33 PM,06:43 AM,06:17 AM,06:13 PM,-6,22,22,22,16,6,17,0.0,1012,33,10,298,9,"dindori,madhya+pradesh"
2009-03-13,35,14,0.0,10.2,6,83,08:30 PM,07:20 AM,06:16 AM,06:14 PM,-6,23,23,23,13,21,14,0.0,1014,35,10,107,7,"dindori,madhya+pradesh"
2009-03-14,35,14,0.0,8.8,6,75,09:28 PM,07:57 AM,06:15 AM,06:14 PM,-2,24,24,24,9,47,19,0.0,1013,35,10,72,5,"dindori,madhya+pradesh"
2009-03-15,29,17,0.0,10.2,6,68,10:24 PM,08:37 AM,06:15 AM,06:15 PM,6,21,21,21,10,39,40,0.5,1013,29,9,164,6,"dindori,madhya+pradesh"
2009-03-16,34,16,0.0,11.6,6,61,11:21 PM,09:20 AM,06:14 AM,06:15 PM,8,25,25,25,7,3,36,0.0,1011,34,10,145,4,"dindori,madhya+pradesh"
2009-03-17,33,19,0.0,11.6,7,53,No moonrise,10:07 AM,06:13 AM,06:15 PM,4,25,25,26,10,6,25,0.0,1010,33,10,201,6,"dindori,madhya+pradesh"
2009-03-18,34,19,0.0,11.6,7,46,12:15 AM,10:57 AM,06:12 AM,06:16 PM,-0,25,25,26,13,2,18,0.0,1010,34,10,136,8,"dindori,madhya+pradesh"
2009-03-19,34,19,0.0,11.6,7,39,01:06 AM,11:49 AM,06:11 AM,06:16 PM,1,25,25,26,8,3,20,0.0,1009,34,10,160,5,"dindori,madhya+pradesh"
2009-03-20,34,18,0.0,11.6,7,32,01:53 AM,12:43 PM,06:10 AM,06:17 PM,2,26,26,27,13,5,21,0.0,1008,34,10,227,8,"dindori,madhya+pradesh"
2009-03-21,33,20,0.0,11.6,7,24,02:35 AM,01:37 PM,06:09 AM,06:17 PM,4,25,25,26,14,3,24,0.0,1009,33,10,275,8,"dindori,madhya+pradesh"
2009-03-22,34,16,0.0,11.6,6,17,03:15 AM,02:30 PM,06:08 AM,06:17 PM,3,24,24,25,11,0,27,0.0,1010,34,10,98,7,"dindori,madhya+pradesh"
2009-03-23,31,18,0.0,11.6,6,10,03:51 AM,03:24 PM,06:07 AM,06:18 PM,5,24,24,25,8,3,29,0.0,1011,31,10,128,4,"dindori,madhya+pradesh"
2009-03-24,33,16,0.0,11.6,6,3,04:25 AM,04:17 PM,06:06 AM,06:18 PM,6,24,24,25,10,9,32,0.2,1011,33,10,139,6,"dindori,madhya+pradesh"
2009-03-25,32,16,0.0,11.6,6,0,04:58 AM,05:11 PM,06:05 AM,06:18 PM,9,25,25,25,8,8,38,0.1,1011,32,10,186,5,"dindori,madhya+pradesh"
2009-03-26,34,17,0.0,11.6,7,0,05:32 AM,06:07 PM,06:04 AM,06:19 PM,2,25,25,26,15,2,27,0.0,1009,34,10,250,9,"dindori,madhya+pradesh"
2009-03-27,35,14,0.0,11.6,6,5,06:06 AM,07:04 PM,06:03 AM,06:19 PM,0,24,24,25,9,12,22,0.0,1010,35,10,142,6,"dindori,madhya+pradesh"
2009-03-28,36,18,0.0,11.6,7,12,06:44 AM,08:05 PM,06:02 AM,06:19 PM,1,26,26,27,13,9,21,0.0,1009,36,10,178,8,"dindori,madhya+pradesh"
2009-03-29,37,19,0.0,11.6,7,19,07:26 AM,09:08 PM,06:01 AM,06:20 PM,5,27,27,28,12,3,25,0.0,1007,37,10,250,7,"dindori,madhya+pradesh"
2009-03-30,37,20,0.0,12.2,7,26,08:13 AM,10:13 PM,06:00 AM,06:20 PM,6,28,28,29,14,4,26,0.0,1007,37,10,220,8,"dindori,madhya+pradesh"
2009-03-31,35,19,0.0,12.6,7,30,09:07 AM,11:17 PM,05:59 AM,06:21 PM,5,26,26,27,17,1,27,0.0,1007,35,10,296,11,"dindori,madhya+pradesh"
2009-04-01,35,19,0.0,12.6,7,42,10:07 AM,No moonset,05:58 AM,06:21 PM,2,26,26,27,15,0,22,0.0,1008,35,10,288,10,"dindori,madhya+pradesh"
2009-04-02,37,17,0.0,12.6,7,50,11:11 AM,12:18 AM,05:57 AM,06:21 PM,2,27,27,28,13,2,22,0.0,1009,37,10,249,8,"dindori,madhya+pradesh"
2009-04-03,37,18,0.0,12.7,7,58,12:16 PM,01:14 AM,05:57 AM,06:22 PM,4,28,28,29,14,6,22,0.0,1009,37,10,305,8,"dindori,madhya+pradesh"
2009-04-04,38,21,0.0,12.7,7,65,01:21 PM,02:04 AM,05:56 AM,06:22 PM,2,28,28,29,15,3,19,0.0,1008,38,10,325,9,"dindori,madhya+pradesh"
2009-04-05,39,22,0.0,12.7,8,73,02:23 PM,02:48 AM,05:55 AM,06:22 PM,-0,29,29,30,16,11,15,0.0,1009,39,10,298,10,"dindori,madhya+pradesh"
2009-04-06,36,21,0.0,12.7,7,80,03:24 PM,03:28 AM,05:54 AM,06:23 PM,5,27,27,28,19,9,27,0.8,1009,36,10,251,13,"dindori,madhya+pradesh"
2009-04-07,37,20,0.0,12.7,7,88,04:22 PM,04:05 AM,05:53 AM,06:23 PM,7,27,27,27,9,13,32,0.1,1007,37,10,275,6,"dindori,madhya+pradesh"
2009-04-08,33,19,0.0,12.7,7,95,05:20 PM,04:40 AM,05:52 AM,06:23 PM,8,26,26,26,8,19,33,0.1,1008,33,10,216,5,"dindori,madhya+pradesh"
2009-04-09,33,18,0.0,12.7,7,100,06:16 PM,05:16 AM,05:51 AM,06:24 PM,8,26,26,26,12,5,34,0.0,1009,33,10,205,7,"dindori,madhya+pradesh"
2009-04-10,34,18,0.0,12.7,7,90,07:14 PM,05:52 AM,05:50 AM,06:24 PM,2,25,25,26,15,0,21,0.0,1009,34,10,321,10,"dindori,madhya+pradesh"
2009-04-11,36,17,0.0,12.8,7,82,08:11 PM,06:31 AM,05:49 AM,06:25 PM,-1,26,26,27,14,0,18,0.0,1008,36,10,295,9,"dindori,madhya+pradesh"
2009-04-12,37,18,0.0,12.8,7,75,09:09 PM,07:13 AM,05:48 AM,06:25 PM,-1,27,27,28,13,0,17,0.0,1007,37,10,350,8,"dindori,madhya+pradesh"
2009-04-13,38,19,0.0,12.8,7,67,10:04 PM,07:59 AM,05:47 AM,06:25 PM,1,28,28,29,13,0,19,0.0,1005,38,10,139,8,"dindori,madhya+pradesh"
2009-04-14,40,20,0.0,12.8,7,59,10:57 PM,08:48 AM,05:47 AM,06:26 PM,1,29,29,30,10,0,18,0.0,1005,40,10,107,6,"dindori,madhya+pradesh"
2009-04-15,41,19,0.0,12.8,7,52,11:46 PM,09:40 AM,05:46 AM,06:26 PM,1,31,31,31,7,0,17,0.0,1005,41,10,31,5,"dindori,madhya+pradesh"
2009-04-16,41,18,0.0,12.8,7,44,No moonrise,10:33 AM,05:45 AM,06:27 PM,1,31,31,31,7,2,16,0.0,1003,41,10,142,4,"dindori,madhya+pradesh"
2009-04-17,39,22,0.0,12.8,8,37,12:30 AM,11:27 AM,05:44 AM,06:27 PM,3,29,29,30,13,8,19,0.0,1003,39,10,145,8,"dindori,madhya+pradesh"
2009-04-18,38,24,0.0,12.8,8,29,01:10 AM,12:20 PM,05:43 AM,06:27 PM,-2,29,29,30,19,1,14,0.0,1006,38,10,321,12,"dindori,madhya+pradesh"
2009-04-19,40,22,0.0,12.9,8,22,01:47 AM,01:13 PM,05:42 AM,06:28 PM,-8,29,29,30,19,0,8,0.0,1006,40,10,300,12,"dindori,madhya+pradesh"
2009-04-20,40,23,0.0,12.9,8,14,02:21 AM,02:06 PM,05:41 AM,06:28 PM,-4,30,30,31,18,0,10,0.0,1004,40,10,301,12,"dindori,madhya+pradesh"
2009-04-21,40,24,0.0,12.9,8,7,02:55 AM,02:59 PM,05:41 AM,06:29 PM,-2,31,31,32,20,0,11,0.0,1002,40,10,292,13,"dindori,madhya+pradesh"
2009-04-22,39,24,0.0,12.9,8,0,03:28 AM,03:53 PM,05:40 AM,06:29 PM,-3,29,29,31,20,0,12,0.0,1004,39,10,303,13,"dindori,madhya+pradesh"
2009-04-23,38,20,0.0,12.9,7,0,04:02 AM,04:50 PM,05:39 AM,06:29 PM,-9,28,28,29,16,0,8,0.0,1007,38,10,289,10,"dindori,madhya+pradesh"
2009-04-24,38,19,0.0,12.9,7,0,04:38 AM,05:50 PM,05:38 AM,06:30 PM,-11,28,28,29,16,0,7,0.0,1008,38,10,260,10,"dindori,madhya+pradesh"
2009-04-25,41,18,0.0,12.9,7,1,05:20 AM,06:53 PM,05:37 AM,06:30 PM,-4,30,30,30,9,3,12,0.0,1009,41,10,73,5,"dindori,madhya+pradesh"
2009-04-26,39,20,0.0,12.9,7,8,06:06 AM,07:59 PM,05:37 AM,06:31 PM,-3,29,29,30,13,1,13,0.0,1008,39,10,185,8,"dindori,madhya+pradesh"
2009-04-27,39,21,0.0,13.0,7,16,06:59 AM,09:06 PM,05:36 AM,06:31 PM,-9,29,29,30,15,0,8,0.0,1007,39,10,333,9,"dindori,madhya+pradesh"
2009-04-28,41,22,0.0,13.0,8,23,07:58 AM,10:10 PM,05:35 AM,06:31 PM,-6,30,30,31,15,0,9,0.0,1006,41,10,316,9,"dindori,madhya+pradesh"
2009-04-29,44,23,0.0,13.0,8,31,09:03 AM,11:10 PM,05:35 AM,06:32 PM,-3,34,34,34,14,0,10,0.0,1005,44,10,313,8,"dindori,madhya+pradesh"
2009-04-30,44,24,0.0,13.0,8,38,10:09 AM,No moonset,05:34 AM,06:32 PM,0,32,32,33,13,7,14,0.0,1004,44,10,301,8,"dindori,madhya+pradesh"
2009-05-01,44,22,0.0,13.0,8,44,11:15 AM,12:02 AM,05:33 AM,06:33 PM,-1,34,34,34,11,10,12,0.0,1004,44,10,325,6,"dindori,madhya+pradesh"
2009-05-02,43,26,0.0,13.0,8,52,12:18 PM,12:47 AM,05:32 AM,06:33 PM,-0,33,33,34,16,21,12,0.0,1005,43,10,332,10,"dindori,madhya+pradesh"
2009-05-03,43,26,0.0,13.0,8,59,01:18 PM,01:28 AM,05:32 AM,06:34 PM,1,32,32,33,14,12,14,0.0,1005,43,10,318,8,"dindori,madhya+pradesh"
2009-05-04,42,20,0.0,13.0,8,66,02:15 PM,02:05 AM,05:31 AM,06:34 PM,3,32,32,33,9,0,16,0.0,1004,42,10,192,6,"dindori,madhya+pradesh"
2009-05-05,41,24,0.0,13.0,8,73,03:12 PM,02:40 AM,05:31 AM,06:35 PM,1,31,31,32,14,0,15,0.0,1005,41,10,277,8,"dindori,madhya+pradesh"
2009-05-06,39,25,0.0,13.1,8,81,04:08 PM,03:15 AM,05:30 AM,06:35 PM,2,31,31,32,15,0,16,0.0,1006,39,10,314,9,"dindori,madhya+pradesh"
2009-05-07,39,24,0.0,13.1,8,88,05:04 PM,03:51 AM,05:29 AM,06:35 PM,-1,30,30,31,17,2,13,0.0,1005,39,10,327,10,"dindori,madhya+pradesh"
2009-05-08,40,18,0.0,13.1,8,95,06:01 PM,04:28 AM,05:29 AM,06:36 PM,2,31,31,32,13,0,19,0.0,1004,40,10,274,8,"dindori,madhya+pradesh"
2009-05-09,42,22,0.0,13.1,8,100,06:58 PM,05:09 AM,05:28 AM,06:36 PM,-1,32,32,33,14,0,13,0.0,1002,42,10,305,8,"dindori,madhya+pradesh"
2009-05-10,42,26,0.0,13.1,8,100,07:54 PM,05:53 AM,05:28 AM,06:37 PM,-1,32,32,33,18,2,12,0.0,1001,42,10,300,11,"dindori,madhya+pradesh"
2009-05-11,41,24,0.0,13.1,8,83,08:48 PM,06:41 AM,05:27 AM,06:37 PM,4,32,32,33,15,5,18,0.0,1002,41,10,274,10,"dindori,madhya+pradesh"
2009-05-12,41,21,0.0,13.1,8,76,09:39 PM,07:32 AM,05:27 AM,06:38 PM,7,32,32,32,15,1,25,0.0,1001,41,10,240,10,"dindori,madhya+pradesh"
2009-05-13,39,22,0.0,13.1,7,68,10:24 PM,08:24 AM,05:26 AM,06:38 PM,13,30,30,30,13,1,41,0.0,1001,39,10,201,8,"dindori,madhya+pradesh"
2009-05-14,40,19,0.0,13.1,8,61,11:06 PM,09:19 AM,05:26 AM,06:39 PM,8,31,31,32,11,2,26,0.1,999,40,10,180,7,"dindori,madhya+pradesh"
2009-05-15,42,22,0.0,13.1,8,54,11:44 PM,10:12 AM,05:25 AM,06:39 PM,10,32,32,32,9,12,29,0.0,1000,42,10,219,5,"dindori,madhya+pradesh"
2009-05-16,40,25,0.0,13.2,8,47,No moonrise,11:04 AM,05:25 AM,06:40 PM,11,31,31,32,10,9,30,0.2,1002,40,10,220,6,"dindori,madhya+pradesh"
2009-05-17,44,24,0.0,13.2,8,39,12:19 AM,11:56 AM,05:24 AM,06:40 PM,9,35,35,35,11,1,24,0.0,1002,44,10,210,6,"dindori,madhya+pradesh"
2009-05-18,41,24,0.0,13.2,8,32,12:52 AM,12:48 PM,05:24 AM,06:41 PM,12,33,33,34,8,4,28,0.0,1002,41,10,120,5,"dindori,madhya+pradesh"
2009-05-19,43,29,0.0,13.2,8,25,01:25 AM,01:41 PM,05:23 AM,06:41 PM,12,35,35,35,10,2,27,0.0,1002,43,10,87,6,"dindori,madhya+pradesh"
2009-05-20,39,28,0.0,13.2,8,17,01:57 AM,02:35 PM,05:23 AM,06:42 PM,13,33,33,34,7,6,29,0.0,1002,39,10,137,4,"dindori,madhya+pradesh"
2009-05-21,43,25,0.0,13.2,8,10,02:32 AM,03:33 PM,05:23 AM,06:42 PM,14,34,34,33,11,8,33,0.0,1001,43,10,135,6,"dindori,madhya+pradesh"
2009-05-22,39,25,0.0,13.2,8,3,03:11 AM,04:34 PM,05:22 AM,06:43 PM,15,33,33,32,10,6,39,0.0,1001,39,10,185,6,"dindori,madhya+pradesh"
2009-05-23,38,25,0.0,13.2,8,0,03:54 AM,05:39 PM,05:22 AM,06:43 PM,15,32,32,32,11,9,39,0.0,1000,38,10,124,7,"dindori,madhya+pradesh"
2009-05-24,42,23,0.0,13.2,8,0,04:44 AM,06:47 PM,05:22 AM,06:43 PM,14,31,31,31,11,17,38,0.0,998,42,10,188,6,"dindori,madhya+pradesh"
2009-05-25,37,22,0.0,13.2,8,4,05:43 AM,07:54 PM,05:22 AM,06:44 PM,14,31,31,30,16,9,39,0.0,996,37,10,156,11,"dindori,madhya+pradesh"
